qseqid	sseqid	evalue	bitscore	qstart	qend	sstart	send	pident	qcov	scov
CM057397.1.g1218.t1	5061.CADANGAP00005536	0.0	1707.0	1	883	1	883	100.0	100.0	100.0
CM057397.1.g1219.t1	40384.G7XH02	5.92e-107	308.0	1	154	1	154	100.0	100.0	100.0
CM057397.1.g1220.t1	5061.CADANGAP00005545	6.58e-227	625.0	1	324	1	324	99.7	100.0	100.0
CM057397.1.g1221.t1	5061.CADANGAP00005546	0.0	4814.0	1	2500	1	2483	97.1	100.0	100.0
CM057397.1.g1222.t1	5061.CADANGAP00005548	0.0	971.0	1	497	1	497	99.8	100.0	100.0
CM057397.1.g1223.t1	5061.CADANGAP00005549	7.99e-139	396.0	1	230	1	255	90.2	100.0	100.0
CM057397.1.g1224.t1	40384.G7XH07	0.0	3123.0	1	1663	1	1663	97.4	100.0	100.0
CM057397.1.g1225.t1	33178.CADATEAP00006476	8.48e-86	262.0	1	229	1	227	61.7	90.2	92.7
CM057397.1.g1226.t1	5061.CADANGAP00005554	0.0	1016.0	5	523	166	684	98.8	99.2	57.9
CM057397.1.g1227.t1	5061.CADANGAP00005556	0.0	1053.0	1	529	1	529	99.2	100.0	100.0
CM057397.1.g1228.t1	5061.CADANGAP00005557	6.72e-247	684.0	1	358	1	358	98.9	97.0	75.8
CM057397.1.g1229.t1	5061.CADANGAP00005558	1.48e-289	790.0	1	396	1	396	99.2	100.0	100.0
CM057397.1.g1230.t1	5061.CADANGAP00005559	0.0	2045.0	1	1039	1	1039	98.5	99.0	90.6
CM057397.1.g1231.t1	40384.G7XH15	0.0	1074.0	1	639	1	645	94.4	100.0	100.0
CM057397.1.g1232.t1	5061.CADANGAP00005561	1.89e-252	692.0	1	353	1	353	99.2	100.0	100.0
CM057397.1.g1233.t1	5061.CADANGAP00005562	1.36e-183	518.0	1	271	155	425	92.6	100.0	63.8
CM057397.1.g1234.t1	5061.CADANGAP00005563	3.91e-157	446.0	1	226	1	226	97.8	89.0	67.7
CM057397.1.g1235.t1	5061.CADANGAP00005564	0.0	1013.0	1	487	1	487	99.4	100.0	100.0
CM057397.1.g1236.t1	5061.CADANGAP00005567	8.53e-153	437.0	1	313	1	313	100.0	100.0	100.0
CM057397.1.g1237.t1	5061.CADANGAP00005572	6.24e-306	845.0	1	490	1	491	97.2	91.8	85.8
CM057397.1.g1238.t1	5061.CADANGAP00005573	0.0	1286.0	1	670	1	670	98.4	100.0	100.0
CM057397.1.g1239.t1	5061.CADANGAP00005576	6.25e-182	508.0	1	276	1	292	93.8	100.0	100.0
CM057397.1.g1240.t1	5061.CADANGAP00005577	0.0	1035.0	1	510	1	515	96.3	100.0	100.0
CM057397.1.g1241.t1	5061.CADANGAP00005578	6.14e-52	163.0	1	76	1	76	100.0	100.0	100.0
CM057397.1.g1242.t1	5061.CADANGAP00005579	0.0	909.0	1	458	1	458	99.3	100.0	100.0
CM057397.1.g1243.t1	40384.G7XH27	3.83e-61	187.0	1	94	1	94	98.9	100.0	100.0
CM057397.1.g1244.t1	5061.CADANGAP00005580	0.0	959.0	1	470	1	470	99.4	100.0	100.0
CM057397.1.g1245.t1	5061.CADANGAP00005584	2.01e-135	384.0	1	202	1	211	95.7	100.0	100.0
CM057397.1.g1246.t1	35725.K2SP94	1.19e-66	230.0	4	326	9	328	40.1	66.6	62.0
CM057397.1.g1247.t1	5061.CADANGAP00005586	0.0	899.0	1	451	1	451	98.7	100.0	100.0
CM057397.1.g1248.t1	5061.CADANGAP00005587	0.0	1123.0	1	578	1	578	99.0	100.0	100.0
CM057397.1.g1249.t1	5061.CADANGAP00005588	1.37e-305	833.0	1	431	1	431	99.5	100.0	100.0
CM057397.1.g1250.t1	5061.CADANGAP00005589	2.13e-207	575.0	1	315	1	315	99.7	100.0	100.0
CM057397.1.g1251.t1	5061.CADANGAP00005590	0.0	1405.0	1	709	1	709	99.6	100.0	100.0
CM057397.1.g1252.t1	40384.G7XH35	1.02e-259	713.0	1	377	1	377	96.8	100.0	100.0
CM057397.1.g1253.t1	5061.CADANGAP00005593	0.0	1737.0	451	1372	1	909	95.7	67.2	100.0
CM057397.1.g1254.t1	40384.G7XH38	2.2e-235	652.0	49	408	1	360	95.0	88.2	100.0
CM057397.1.g1255.t1	5061.CADANGAP00005599	0.0	1035.0	1	568	1	556	90.3	99.8	97.0
CM057397.1.g1257.t1	5061.CADANGAP00005602	0.0	1963.0	1	993	32	1009	96.0	100.0	96.9
CM057397.1.g1258.t1	5061.CADANGAP00005603	1.58e-316	866.0	1	458	22	527	90.3	100.0	96.0
CM057397.1.g1259.t1	5061.CADANGAP00005607	0.0	1014.0	6	517	1	512	98.6	99.0	100.0
CM057397.1.g1260.t1	5061.CADANGAP00005608	0.0	1999.0	1	1067	13	1081	97.3	100.0	98.9
CM057397.1.g1261.t1	5061.CADANGAP00005609	0.0	1162.0	1	618	1	639	95.0	100.0	100.0
CM057397.1.g1262.t1	5061.CADANGAP00005610	0.0	902.0	1	525	1	521	97.3	100.0	100.0
CM057397.1.g1263.t1	40384.G7XH48	0.0	933.0	67	642	5	580	94.6	89.7	99.3
CM057397.1.g1264.t1	40384.G7XH50	0.0	905.0	1	602	1	602	95.0	100.0	100.0
CM057397.1.g1265.t1	5061.CADANGAP00005615	6.84e-238	671.0	1	356	1	350	95.5	51.6	89.5
CM057397.1.g1266.t1	40384.G7XH54	0.0	943.0	31	529	10	511	98.0	94.3	98.2
CM057397.1.g1267.t1	40384.G7XH55	0.0	2160.0	1	1351	1	1348	90.2	99.9	99.9
CM057397.1.g1268.t1	5061.CADANGAP00005622	4.47e-164	464.0	1	222	1	222	100.0	65.3	91.0
CM057397.1.g1269.t1	5061.CADANGAP00005624	4.48e-154	438.0	1	273	1	294	84.1	100.0	100.0
CM057397.1.g1270.t1	40384.G7XH60	0.0	1298.0	1	682	1	681	96.8	100.0	100.0
CM057397.1.g1271.t1	5061.CADANGAP00005626	0.0	1085.0	1	548	159	707	99.8	89.1	77.4
CM057397.1.g1272.t1	5061.CADANGAP00004483	0.0	1074.0	552	1125	1	592	94.1	51.0	100.0
CM057397.1.g1273.t1	5061.CADANGAP00004481	5.54e-214	591.0	1	305	1	305	99.0	100.0	100.0
CM057397.1.g1274.t1	5061.CADANGAP00004480	0.0	902.0	1	505	1	516	83.4	100.0	100.0
CM057397.1.g1275.t1	5061.CADANGAP00004479	4e-234	644.0	1	327	1	327	98.5	100.0	100.0
CM057397.1.g1276.t1	40384.G7XVK8	0.0	1045.0	1	560	1	560	94.6	99.8	99.8
CM057397.1.g1277.t1	5061.CADANGAP00004477	9.79e-238	656.0	64	397	1	330	97.6	84.1	100.0
CM057397.1.g1278.t1	5061.CADANGAP00004476	0.0	1573.0	1	796	1	832	95.3	100.0	100.0
CM057397.1.g1279.t1	5061.CADANGAP00004475	0.0	1174.0	1	603	1	584	94.9	100.0	100.0
CM057397.1.g1280.t1	5061.CADANGAP00004474	0.0	1496.0	1	773	3	775	98.1	100.0	99.7
CM057397.1.g1281.t1	5061.CADANGAP00004472	0.0	876.0	1	436	1	436	99.5	96.7	86.0
CM057397.1.g1282.t1	5061.CADANGAP00004471	6.37e-259	716.0	1	438	1	436	96.6	100.0	100.0
CM057397.1.g1283.t1	5061.CADANGAP00004467	0.0	867.0	1	446	1	441	96.0	100.0	100.0
CM057397.1.g1284.t1	5061.CADANGAP00004466	4.95e-93	272.0	1	146	1	146	97.3	100.0	100.0
CM057397.1.g1285.t1	5061.CADANGAP00004465	3.73e-195	545.0	26	303	64	341	96.4	91.7	81.5
CM057397.1.g1286.t1	5061.CADANGAP00004464	3.11e-114	330.0	1	198	1	196	89.4	100.0	100.0
CM057397.1.g1287.t1	5061.CADANGAP00004462	3.2e-211	584.0	1	301	1	301	100.0	100.0	100.0
CM057397.1.g1288.t1	5061.CADANGAP00004460	0.0	1125.0	1	555	1	555	98.4	100.0	100.0
CM057397.1.g1289.t1	69781.S7ZPE1	4.18e-14	68.9	4	92	3	83	47.2	96.7	85.3
CM057397.1.g1290.t1	5061.CADANGAP00004458	1.25e-245	682.0	9	378	9	373	93.0	96.1	76.5
CM057397.1.g1291.t1	5061.CADANGAP00004457	0.0	966.0	1	492	1	518	91.5	100.0	100.0
CM057397.1.g1292.t1	5061.CADANGAP00004455	1.45e-199	554.0	1	279	1	279	98.2	95.9	90.9
CM057397.1.g1293.t1	5059.CADAFLAP00011488	0.0	1388.0	2	856	4	858	77.7	99.9	99.7
CM057397.1.g1294.t1	5061.CADANGAP00004452	0.0	996.0	1	502	1	502	99.4	100.0	100.0
CM057397.1.g1295.t1	5061.CADANGAP00004450	0.0	2485.0	1	1295	1	1295	99.3	100.0	100.0
CM057397.1.g1296.t1	40384.G7XXJ8	1.28e-165	463.0	1	238	1	238	98.7	100.0	100.0
CM057397.1.g1297.t1	5061.CADANGAP00004448	3.86e-207	578.0	1	316	1	397	78.1	100.0	100.0
CM057397.1.g1298.t1	5061.CADANGAP00004446	0.0	1095.0	7	552	8	553	99.8	98.9	98.7
CM057397.1.g1300.t1	5061.CADANGAP00004441	0.0	962.0	1	504	1	504	99.8	100.0	100.0
CM057397.1.g1301.t1	5061.CADANGAP00004440	3.76e-244	670.0	1	337	1	337	98.2	100.0	100.0
CM057397.1.g1302.t1	5061.CADANGAP00004438	1.42e-43	150.0	1	83	1	83	98.8	90.2	27.0
CM057397.1.g1303.t1	5061.CADANGAP00004437	2.18e-119	356.0	1	192	317	528	86.8	98.0	38.4
CM057397.1.g1304.t1	5061.CADANGAP00004435	2.33e-85	254.0	1	157	1	157	100.0	100.0	100.0
CM057397.1.g1307.t1	5061.CADANGAP00004429	1.62e-131	382.0	1	188	1	188	97.9	47.5	95.9
CM057397.1.g1308.t1	5061.CADANGAP00004428	1.24e-200	556.0	1	294	1	294	96.6	100.0	100.0
CM057397.1.g1309.t1	40384.G7XXL0	2.61e-184	511.0	1	249	1	249	94.8	100.0	100.0
CM057397.1.g1310.t1	5061.CADANGAP00004426	1.18e-225	621.0	1	307	1	307	98.7	100.0	100.0
CM057397.1.g1311.t1	5061.CADANGAP00004425	6.25e-246	674.0	1	334	1	334	98.8	100.0	100.0
CM057397.1.g1312.t1	5061.CADANGAP00004424	0.0	1177.0	51	653	63	665	99.2	92.3	90.7
CM057397.1.g1313.t1	5061.CADANGAP00004423	0.0	1352.0	1	687	5	691	98.1	95.7	88.6
CM057397.1.g1314.t1	5061.CADANGAP00004422	5.59e-28	107.0	13	81	142	210	98.6	85.2	32.9
CM057397.1.g1315.t1	5061.CADANGAP00004421	6.48e-108	313.0	8	174	1	167	92.2	95.4	89.3
CM057397.1.g1316.t1	40384.G7XXL7	0.0	1825.0	1	1074	1	1044	86.6	98.4	89.5
CM057397.1.g1317.t1	5061.CADANGAP00004418	7.16e-203	563.0	1	300	1	300	99.7	100.0	100.0
CM057397.1.g1318.t1	40384.G7XXL9	9.34e-108	313.0	1	171	1	171	95.3	99.4	85.1
CM057397.1.g1319.t1	40384.G7XXM0	0.0	1981.0	1	1409	1	1417	78.9	100.0	100.0
CM057397.1.g1320.t1	5061.CADANGAP00004368	5.06e-254	702.0	7	399	80	451	92.9	98.5	82.5
CM057397.1.g1321.t1	5061.CADANGAP00004367	8.69e-96	279.0	1	141	1	141	100.0	100.0	100.0
CM057397.1.g1322.t1	5061.CADANGAP00004366	2.86e-287	784.0	1	396	1	396	99.0	100.0	100.0
CM057397.1.g1323.t1	5061.CADANGAP00004365	1.48e-166	472.0	1	243	1	243	99.6	99.6	61.4
CM057397.1.g1324.t1	5061.CADANGAP00004364	8.24e-102	299.0	7	177	1	170	93.0	90.0	76.9
CM057397.1.g1325.t1	5061.CADANGAP00004363	0.0	1475.0	1	759	1	759	99.6	100.0	100.0
CM057397.1.g1326.t1	40384.G7XXQ3	7.52e-263	719.0	1	361	1	361	98.9	100.0	100.0
CM057397.1.g1327.t1	5061.CADANGAP00004359	1.98e-155	436.0	1	219	1	219	99.5	100.0	100.0
CM057397.1.g1328.t1	5061.CADANGAP00004357	1.87e-222	618.0	1	350	1	350	87.1	99.7	91.6
CM057397.1.g1329.t1	40384.G7XXQ6	0.0	1365.0	1	701	1	701	98.0	100.0	100.0
CM057397.1.g1330.t1	5061.CADANGAP00004354	7.95e-202	574.0	2	379	7	469	68.5	87.3	90.3
CM057397.1.g1331.t1	5061.CADANGAP00004353	8.81e-285	779.0	1	410	1	412	96.1	100.0	100.0
CM057397.1.g1332.t1	5061.CADANGAP00004350	0.0	1038.0	1	569	1	569	100.0	100.0	100.0
CM057397.1.g1333.t1	5061.CADANGAP00004349	1.71e-112	325.0	1	185	1	185	100.0	100.0	100.0
CM057397.1.g1334.t1	5061.CADANGAP00004348	3.74e-182	509.0	1	258	1	258	98.8	99.6	81.6
CM057397.1.g1335.t1	5061.CADANGAP00004344	7.2e-254	705.0	1	359	214	572	98.6	100.0	62.8
CM057397.1.g1336.t1	5061.CADANGAP00004343	5.29e-193	538.0	1	308	1	308	97.7	100.0	100.0
CM057397.1.g1337.t1	5061.CADANGAP00004342	1.19e-199	553.0	1	287	1	287	99.7	100.0	100.0
CM057397.1.g1338.t1	5061.CADANGAP00004341	3.96e-177	494.0	1	254	1	254	100.0	100.0	100.0
CM057397.1.g1339.t1	5061.CADANGAP00004340	0.0	1005.0	1	505	73	577	99.8	100.0	87.5
CM057397.1.g1340.t1	5061.CADANGAP00004338	7.7e-242	676.0	1	346	1	343	98.0	59.9	95.3
CM057397.1.g1341.t1	5061.CADANGAP00004337	2.41e-315	858.0	1	431	1	431	98.4	100.0	100.0
CM057397.1.g1342.t1	5061.CADANGAP00004336	0.0	930.0	1	463	1	463	99.6	100.0	100.0
CM057397.1.g1343.t1	5061.CADANGAP00004335	8.74e-94	292.0	1	149	538	686	99.3	100.0	21.7
CM057397.1.g1344.t1	5061.CADANGAP00004334	5.24e-53	166.0	1	76	1	76	100.0	100.0	100.0
CM057397.1.g1345.t1	5061.CADANGAP00004333	0.0	1623.0	1	818	24	841	98.9	100.0	92.2
CM057397.1.g1346.t1	5061.CADANGAP00004332	1.6e-271	743.0	1	375	1	375	100.0	100.0	100.0
CM057397.1.g1347.t1	40384.G7XXS1	4.22e-220	619.0	1	325	1	325	95.4	59.3	92.3
CM057397.1.g1348.t1	5061.CADANGAP00004327	5.51e-123	353.0	1	183	1	183	97.8	96.8	78.9
CM057397.1.g1349.t1	40384.G7XXM3	0.0	1037.0	1	663	1	662	86.9	100.0	100.0
CM057397.1.g1350.t1	5061.CADANGAP00004325	0.0	1038.0	1	553	1	553	99.8	100.0	100.0
CM057397.1.g1351.t1	5061.CADANGAP00004324	5.3e-272	749.0	1	375	1	375	99.2	86.6	86.6
CM057397.1.g1352.t1	5061.CADANGAP00004323	6.6e-311	848.0	1	445	1	445	99.1	100.0	100.0
CM057397.1.g1353.t1	5061.CADANGAP00004322	0.0	1462.0	1	787	1	787	99.6	100.0	100.0
CM057397.1.g1354.t1	5061.CADANGAP00004321	0.0	890.0	1	489	1	489	99.6	100.0	100.0
CM057397.1.g1355.t1	40384.G7XXM9	1.08e-166	467.0	1	247	1	247	98.0	100.0	100.0
CM057397.1.g1356.t1	40384.G7XXN0	1.27e-261	721.0	1	415	1	416	97.1	100.0	100.0
CM057397.1.g1357.t1	40384.G7XXN1	2.77e-255	703.0	1	391	1	391	98.0	100.0	100.0
CM057397.1.g1358.t1	1048829.XP_002789810.1	6.55e-79	237.0	1	149	1	149	100.0	100.0	100.0
CM057397.1.g1359.t1	5061.CADANGAP00004316	3.83e-214	594.0	1	332	1	332	97.9	100.0	100.0
CM057397.1.g1360.t1	5061.CADANGAP00004315	0.0	1156.0	1	564	1	564	100.0	100.0	97.4
CM057397.1.g1361.t1	5061.CADANGAP00004314	5.82e-218	606.0	22	343	67	386	97.2	93.9	82.9
CM057397.1.g1362.t1	40384.G7XXN6	8.67e-277	759.0	1	413	1	413	95.6	100.0	100.0
CM057397.1.g1363.t1	5061.CADANGAP00004312	0.0	1268.0	1	643	1	643	99.7	99.5	95.5
CM057397.1.g1364.t1	5061.CADANGAP00012471	4.43e-183	511.0	14	284	8	278	94.5	95.4	97.5
CM057397.1.g1365.t1	33178.CADATEAP00007205	3.7e-290	798.0	11	441	7	507	80.6	97.7	98.8
CM057397.1.g1366.t1	5061.CADANGAP00012468	2.81e-100	295.0	1	163	1	178	88.2	95.3	73.0
CM057397.1.g1367.t1	5061.CADANGAP00012467	1.99e-235	647.0	1	329	1	329	98.5	100.0	100.0
CM057397.1.g1368.t1	5061.CADANGAP00012466	6.91e-314	856.0	1	447	1	447	96.2	100.0	100.0
CM057397.1.g1369.t1	5061.CADANGAP00012464	0.0	1055.0	1	536	1	536	98.1	100.0	100.0
CM057397.1.g1370.t1	5061.CADANGAP00012463	0.0	988.0	1	498	46	572	93.0	100.0	92.1
CM057397.1.g1371.t1	5061.CADANGAP00012460	7.71e-186	517.0	1	267	1	267	98.9	100.0	100.0
CM057397.1.g1372.t1	5061.CADANGAP00012459	4.17e-179	517.0	1	268	405	690	91.6	99.3	40.0
CM057397.1.g1373.t1	5061.CADANGAP00012456	0.0	1122.0	1	588	1	573	95.2	100.0	100.0
CM057397.1.g1374.t1	5061.CADANGAP00012455	1.86e-216	598.0	1	313	1	313	98.7	100.0	100.0
CM057397.1.g1375.t1	5061.CADANGAP00012454	0.0	1276.0	1	636	183	818	99.7	100.0	77.8
CM057397.1.g1376.t1	5061.CADANGAP00012453	1.88e-101	305.0	26	196	210	387	87.6	87.2	46.0
CM057397.1.g1377.t1	5061.CADANGAP00012452	3.03e-193	536.0	1	278	1	278	100.0	100.0	100.0
CM057397.1.g1378.t1	5061.CADANGAP00012449	1e-224	620.0	1	330	1	330	95.2	100.0	100.0
CM057397.1.g1379.t1	5061.CADANGAP00012448	1.27e-291	795.0	1	398	1	398	98.5	100.0	100.0
CM057397.1.g1380.t1	40384.G7XDI3	1.69e-198	557.0	35	354	34	362	90.3	89.1	89.6
CM057397.1.g1381.t1	5061.CADANGAP00012446	0.0	1482.0	1	799	1	799	99.9	100.0	100.0
CM057397.1.g1382.t1	5061.CADANGAP00012445	1.59e-246	683.0	1	416	1	416	98.6	100.0	100.0
CM057397.1.g1383.t1	40384.G7XDI0	8.99e-83	244.0	1	119	1	119	100.0	100.0	100.0
CM057397.1.g1384.t1	40384.G7XDH9	0.0	2371.0	1	1230	1	1230	98.5	100.0	100.0
CM057397.1.g1385.t1	5061.CADANGAP00012441	0.0	1599.0	1	762	1	762	99.5	100.0	100.0
CM057397.1.g1386.t1	5061.CADANGAP00012440	0.0	2670.0	1	1416	1	1416	99.8	100.0	100.0
CM057397.1.g1387.t1	5061.CADANGAP00012439	8.23e-157	441.0	1	237	1	237	98.7	100.0	100.0
CM057397.1.g1388.t1	40384.G7XDH5	1.79e-192	536.0	1	302	1	300	96.0	100.0	100.0
CM057397.1.g1389.t1	5061.CADANGAP00012437	2.71e-167	473.0	1	264	82	345	94.3	100.0	76.5
CM057397.1.g1390.t1	5061.CADANGAP00012435	0.0	1172.0	10	765	1	739	97.6	98.8	100.0
CM057397.1.g1391.t1	5061.CADANGAP00010442	3.17e-232	643.0	1	331	1	331	99.7	100.0	80.3
CM057397.1.g1392.t1	40384.G7XRP1	1.12e-160	453.0	4	242	20	286	88.0	98.8	93.4
CM057397.1.g1393.t1	5061.CADANGAP00010440	0.0	3677.0	1	1937	1	1938	99.3	100.0	100.0
CM057397.1.g1394.t1	5061.CADANGAP00010438	0.0	1338.0	14	699	451	1150	97.0	98.1	60.9
CM057397.1.g1395.t1	5061.CADANGAP00010437	0.0	1431.0	1	748	1	748	100.0	100.0	100.0
CM057397.1.g1396.t1	5061.CADANGAP00010435	6.13e-201	557.0	1	294	1	294	100.0	100.0	100.0
CM057397.1.g1397.t1	5061.CADANGAP00010434	2.49e-254	697.0	1	356	1	356	100.0	100.0	100.0
CM057397.1.g1398.t1	5061.CADANGAP00010433	1.02e-153	436.0	1	266	1	266	92.5	100.0	100.0
CM057397.1.g1399.t1	5061.CADANGAP00010431	0.0	1618.0	1	873	1	873	99.4	100.0	100.0
CM057397.1.g1400.t1	5061.CADANGAP00010430	2.83e-198	551.0	7	295	19	307	100.0	98.0	94.1
CM057397.1.g1401.t1	40384.G7XRN2	4e-40	132.0	1	68	1	68	100.0	100.0	100.0
CM057397.1.g1402.t1	5061.CADANGAP00010428	0.0	1985.0	1	1119	1	1104	97.3	100.0	100.0
CM057397.1.g1403.t1	5061.CADANGAP00010427	0.0	1056.0	1	533	73	605	98.7	100.0	88.1
CM057397.1.g1404.t1	5061.CADANGAP00010426	2.77e-249	683.0	1	334	1	334	99.7	100.0	100.0
CM057397.1.g1405.t1	5061.CADANGAP00010424	0.0	1234.0	1	669	103	771	100.0	100.0	86.8
CM057397.1.g1406.t1	5061.CADANGAP00010423	5.24e-143	404.0	1	212	1	212	100.0	100.0	100.0
CM057397.1.g1407.t1	5061.CADANGAP00010422	0.0	956.0	1	505	1	505	100.0	100.0	100.0
CM057397.1.g1408.t1	5061.CADANGAP00010421	0.0	1684.0	1	820	1	820	99.0	100.0	100.0
CM057397.1.g1409.t1	5061.CADANGAP00010420	0.0	1984.0	10	1135	125	1250	98.5	99.2	90.1
CM057397.1.g1410.t1	5061.CADANGAP00010419	3.83e-245	679.0	1	374	1	443	84.0	100.0	100.0
CM057397.1.g1411.t1	5061.CADANGAP00010418	1.38e-273	748.0	1	377	1	377	100.0	100.0	100.0
CM057397.1.g1412.t1	5061.CADANGAP00010417	3.36e-237	655.0	1	334	1	393	84.0	100.0	100.0
CM057397.1.g1413.t1	40384.G7XRY1	5.79e-182	508.0	1	273	1	274	95.6	100.0	100.0
CM057397.1.g1414.t1	5061.CADANGAP00010415	0.0	876.0	1	422	1	422	99.5	100.0	100.0
CM057397.1.g1415.t1	5061.CADANGAP00010414	0.0	1607.0	1	834	1	827	98.7	100.0	100.0
CM057397.1.g1416.t1	5061.CADANGAP00010413	0.0	1299.0	1	666	1	684	97.2	100.0	100.0
CM057397.1.g1417.t1	5061.CADANGAP00010411	0.0	1023.0	1	516	1	516	99.6	100.0	100.0
CM057397.1.g1418.t1	5061.CADANGAP00010410	0.0	1140.0	1	635	1	604	94.6	100.0	100.0
CM057397.1.g1419.t1	5061.CADANGAP00010409	0.0	1621.0	1	881	1	884	99.2	100.0	100.0
CM057397.1.g1420.t1	5061.CADANGAP00010408	0.0	1159.0	1	585	1	585	99.8	100.0	100.0
CM057397.1.g1421.t1	5061.CADANGAP00010405	8.39e-219	608.0	1	309	120	428	98.4	100.0	72.2
CM057397.1.g1422.t1	5061.CADANGAP00010404	2.27e-268	735.0	1	378	1	378	100.0	100.0	100.0
CM057397.1.g1423.t1	40384.G7XRX0	2.1e-289	790.0	1	405	1	405	96.0	100.0	100.0
CM057397.1.g1424.t1	5061.CADANGAP00010402	1.41e-126	388.0	78	323	100	345	100.0	74.5	30.0
CM057397.1.g1425.t1	5061.CADANGAP00010401	4.43e-190	529.0	1	286	1	286	99.3	100.0	100.0
CM057397.1.g1426.t1	5061.CADANGAP00010400	2.3e-86	261.0	1	221	1	222	82.0	100.0	100.0
CM057397.1.g1427.t1	40384.G7XRW6	5.13e-44	149.0	1	161	1	161	100.0	100.0	100.0
CM057397.1.g1428.t1	5061.CADANGAP00010398	6.19e-283	775.0	1	416	1	416	97.8	100.0	100.0
CM057397.1.g1429.t1	5061.CADANGAP00010397	0.0	1074.0	1	517	1	517	99.6	100.0	100.0
CM057397.1.g1430.t1	40384.G7XRW3	0.0	1251.0	27	731	1	700	89.4	96.4	100.0
CM057397.1.g1431.t1	5061.CADANGAP00010395	0.0	972.0	1	492	1	492	98.6	100.0	100.0
CM057397.1.g1432.t1	5061.CADANGAP00010394	0.0	1422.0	1	688	1	688	99.9	100.0	100.0
CM057397.1.g1433.t1	5061.CADANGAP00010392	5.1e-230	644.0	14	344	128	458	98.5	93.5	59.5
CM057397.1.g1434.t1	40384.G7XRV9	0.0	1135.0	45	667	1	623	98.1	93.4	100.0
CM057397.1.g1435.t1	5061.CADANGAP00010390	2.37e-85	252.0	8	141	2	135	100.0	95.0	99.3
CM057397.1.g1436.t1	5061.CADANGAP00010389	8.98e-317	864.0	1	454	17	463	96.7	100.0	96.5
CM057397.1.g1437.t1	40384.G7XRV6	0.0	1111.0	1	682	1	682	98.7	100.0	100.0
CM057397.1.g1438.t1	5061.CADANGAP00010385	0.0	1110.0	1	568	1	568	99.6	100.0	100.0
CM057397.1.g1439.t1	5061.CADANGAP00010384	6.8e-223	615.0	1	321	1	321	100.0	100.0	100.0
CM057397.1.g1440.t1	40384.G7XRV2	5.25e-258	709.0	1	389	1	385	93.3	100.0	100.0
CM057397.1.g1441.t1	5061.CADANGAP00010382	8.28e-291	795.0	1	413	1	413	100.0	100.0	100.0
CM057397.1.g1442.t1	5061.CADANGAP00010379	1.74e-198	551.0	1	277	28	304	99.3	100.0	91.1
CM057397.1.g1443.t1	5061.CADANGAP00010378	2.08e-265	727.0	1	371	1	371	100.0	100.0	100.0
CM057397.1.g1444.t1	40384.G7XRU7	8.95e-161	453.0	1	265	1	264	95.1	100.0	100.0
CM057397.1.g1445.t1	5061.CADANGAP00010375	1.39e-98	292.0	1	158	125	282	99.4	100.0	56.0
CM057397.1.g1446.t1	40384.G7XRU5	0.0	1041.0	1	538	1	538	97.6	100.0	100.0
CM057397.1.g1447.t1	5061.CADANGAP00010371	0.0	963.0	1	478	153	630	100.0	100.0	75.9
CM057397.1.g1448.t1	5061.CADANGAP00010369	0.0	1204.0	9	597	31	619	99.7	98.7	95.2
CM057397.1.g1449.t1	5061.CADANGAP00010368	7.47e-202	563.0	1	283	120	402	97.5	100.0	70.4
CM057397.1.g1450.t1	5061.CADANGAP00010367	8.42e-149	419.0	1	212	1	212	100.0	100.0	100.0
CM057397.1.g1451.t1	40384.G7XRU0	6.8e-285	785.0	1	478	1	473	96.7	100.0	100.0
CM057397.1.g1452.t1	40384.G7XRT9	1.91e-90	270.0	1	198	1	198	97.0	100.0	100.0
CM057397.1.g1453.t1	40384.G7XRT8	7.42e-172	479.0	1	243	1	243	97.9	100.0	100.0
CM057397.1.g1454.t1	5061.CADANGAP00010364	9.43e-230	635.0	1	342	1	342	99.4	95.3	98.8
CM057397.1.g1455.t1	5061.CADANGAP00010363	0.0	1837.0	1	919	1	919	99.9	100.0	100.0
CM057397.1.g1456.t1	5061.CADANGAP00010362	7.79e-251	704.0	1	379	1	379	98.7	54.5	99.0
CM057397.1.g1457.t1	40384.G7XRT3	0.0	1081.0	1	640	1	640	97.5	100.0	100.0
CM057397.1.g1458.t1	5061.CADANGAP00010355	4.91e-302	826.0	37	468	1	432	99.8	92.3	100.0
CM057397.1.g1459.t1	5061.CADANGAP00010354	0.0	1544.0	1	881	1	881	99.2	100.0	100.0
CM057397.1.g1460.t1	5061.CADANGAP00010353	0.0	1686.0	1	925	63	960	96.6	100.0	93.5
CM057397.1.g1461.t1	5061.CADANGAP00010352	0.0	2079.0	1	1464	1	1434	95.8	100.0	100.0
CM057397.1.g1462.t1	40384.G7XRS8	1.09e-110	318.0	1	161	1	161	98.1	100.0	100.0
CM057397.1.g1463.t1	5061.CADANGAP00010350	0.0	1696.0	1	946	1	946	99.4	100.0	100.0
CM057397.1.g1464.t1	5061.CADANGAP00010349	6.64e-243	678.0	10	349	255	594	99.4	97.4	57.2
CM057397.1.g1465.t1	5061.CADANGAP00010348	0.0	1144.0	1	581	339	971	91.3	100.0	65.2
CM057397.1.g1466.t1	40384.G7XRS4	0.0	997.0	1	545	1	606	84.2	100.0	100.0
CM057397.1.g1467.t1	40384.G7XRS3	0.0	2086.0	1	1119	1	1138	96.0	100.0	100.0
